IT#WIKIDATA#Q1462905	comune$NOM francese$ADJ
IT#WIKIDATA#Q1376585	termine$NOM del$PRE:det buddhismo$NOM zen$ADJ traducibile$ADJ con$PRE nessuno$ADJ o$CON senza$PRE
IT#WIKI#Operazione_Anello_(1991)	L'Operazione$VER:remo anello$NOM essere$VER:remo il$DET:def nome$NOM in$PRE codice$NOM dare$VER:pper ad$PRE un’operazione$NOM militare$ADJ condurre$VER:pper dal$PRE:det forza$NOM interno$ADJ di$PRE sicurezza$NOM sovietico$ADJ (gli$NOM OMON$NPR russo$NOM e$CON azere)$NOM nel$PRE:det maggio$NOM @card@$NUM nel$PRE:det distretto$NOM di$PRE Shahumian$NOM nel$PRE:det nord$ADJ dell’oblast$NOM del$PRE:det Nagorno$NOM Karabakh$NPR allora$ADV ancora$ADV facente$ADJ amministrativamente$ADV parte$NOM dell’Azerbaigian.$ABR
IT#WIKI#PCLinuxOS	PCLinuxOS$NOM essere$VER:pres una$DET:indef distribuzione$NOM GNU/Linux,$NOM indirizzare$VER:pper al$PRE:det fascia$NOM di$PRE utente$NOM con$PRE poco$ADJ esperienza$NOM nel$PRE:det mondo$NOM di$PRE Linux,$NOM principalmente$ADV rivolgere$VER:pper all'utenza$NOM desktop;$NOM e$CON a$PRE quegli$PRO:demo utente$NOM più$ADV esperto$ADJ nel$PRE:det mondo$NOM Linux$NOM che$PRO:rela comunque$ADV volere$VER:pres usare$VER:infi un$DET:indef sistema$NOM pratico$ADJ e$CON completo$ADJ nell'uso.$NOM
IT#WIKIDATA#Q156707	dirigente$NOM sportivo$ADJ e$CON ex$ADJ ciclista$NOM su$PRE strada$NOM irlandese$ADJ
IT#WIKI#Andezeno	Andezeno$NOM essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det provincia$NOM di$PRE Torino$NPR che$PRO:rela distare$VER:impe @card@$NUM km$NOM dal$PRE:det capoluogo.$NOM
IT#WIKI#2213_Meeus	@card@$NUM Meeus$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKI#8867_Tubbiolo	@card@$NUM Tubbiolo$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKI#Callithrix_jacchus	il$DET:def uistitì$NOM dal$PRE:det pennacchio$NOM bianco$ADJ essere$VER:pres un$DET:indef primate$NOM platirrino$VER:cpre del$PRE:det famiglia$NOM del$PRE:det Cebidi.$NOM
IT#WIKIDATA#Q702326	Regista,$NOM autore$NOM e$CON produttore$NOM cinematografico$ADJ di$PRE Hong$NPR Kong$NPR
IT#WIKIDATA#Q852893	comune$NOM francese$ADJ
IT#WIKI#Naraha	Naraha$NOM essere$VER:pres una$DET:indef cittadino$NOM giapponese$ADJ del$PRE:det prefettura$NOM di$PRE Fukushima.$NOM
IT#WIKI#Targhe_automobilistiche_slovene	il$DET:def targa$NOM automobilistico$ADJ in$PRE Slovenia$NPR essere|sonare$VER:pres comporre$VER:pper dal$PRE:det seguente$ADJ parti,$NOM da$PRE sinistra$NOM a$PRE destra:$NOM Nel$NOM caso$NOM di$PRE rimorchi,$NOM l'ordine$ADJ venire$VER:pres ribaltato.$NOM
IT#WIKI#Tiago_Silva_dos_Santos	durante$PRE il$DET:def suo$PRO:poss carriera$NOM avere$VER:pres giocare$VER:pper con$PRE vario$ADJ squadra$NOM di$PRE club,$NOM tra$PRE cui$PRO:rela anche$ADV il$DET:def CSKA$NOM Sofia.$ABR
IT#WIKIDATA#Q214753	del$PRE:det metodo$NOM per$PRE determinare$VER:infi l'età$VER:infi di$PRE oggetto$NOM antico$ADJ
IT#WIKIDATA#Q220677	cromosoma$NOM umano$ADJ
IT#WIKI#Johann_Jakob_Tschudi	Tschudi$NOM nascere$VER:remo a$PRE Glarona$NOM e$CON studiare$VER:remo scienza$NOM naturale$ADJ e$CON medicina$NOM al$PRE:det università$NOM di$PRE Neuchâtel,$NOM Leida$NOM e$CON Parigi.$NOM
IT#WIKI#Villa_del_Casale	il$DET:def villa$NOM del$PRE:det casale$NOM essere$VER:pres una$DET:indef villa$NOM tardo-romana$NOM il$DET:def cui$PRO:rela resto$NOM essere|sonare$VER:pres situare$VER:pper nell'immediata$VER:pper periferia$NOM di$PRE piazza$NOM Armerina,$NOM in$PRE Sicilia.$NOM
IT#WIKI#Hauteville_(Aisne)	Hauteville$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM dell'Aisne$VER:geru del$PRE:det regione$NOM del$PRE:det Piccardia.$NOM
IT#WIKIDATA#Q331791	Attore,$NOM comico$ADJ e$CON doppiatore$NOM statunitense$ADJ
IT#WIKIDATA#Q571283	Album$NOM del$PRE:det Deep$NOM Purple$NOM del$PRE:det @card@$NUM
IT#WIKI#Aunay-en-Bazois	Aunay-en-Bazois$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Nièvre$NOM nel$PRE:det regione$NOM del$PRE:det Borgogna.$NOM
IT#WIKI#RollerCoaster_Tycoon	RollerCoaster$VER:futu Tycoon$NOM essere$VER:pres un$DET:indef videogioco$NOM manageriale,$NOM primo$ADJ dell'omonima$ADJ trilogia,$NOM che$PRO:rela simulare$VER:pres numeroso$ADJ aspetto$NOM del$PRE:det gestione$NOM di$PRE un$DET:indef parco$ADJ divertimenti.$NOM
IT#WIKIDATA#Q868784	regione$NOM malawiani$ADJ
IT#WIKI#Brendan_Fehr	Brendan$NOM Fehr$NOM essere$VER:pres nascere$VER:pper a$PRE New$NPR Westminster,$NOM nel$PRE:det Columbia$NPR britannica,$NOM ma$CON essere$VER:pres crescere$VER:pper a$PRE Winnipeg.$NOM
IT#WIKI#Divizia_A_1986-1987	L'edizione$VER:remo @card@$NUM del$PRE:det Divizia$NOM A$NOM vedere$VER:remo il$DET:def vittoria$NOM finale$ADJ del$PRE:det Steaua$NOM Bucureşti.$ABR
IT#WIKI#Sistema_solare	il$DET:def sistema$NOM solare$ADJ essere$VER:pres il$DET:def sistema$NOM planetario$ADJ costituire$VER:pper da$PRE una$DET:indef varietà$NOM di$PRE corpo$NOM celeste$ADJ mantenere$VER:pper in$PRE orbita$NOM dal$PRE:det forza$NOM di$PRE gravità$NOM del$PRE:det Sole;$NOM vi$PRO:refl appartenere$VER:pres anche$ADV il$DET:def Terra.$ABR
IT#WIKI#Cepphus	Cepphus$NOM essere$VER:pres un$DET:indef genere$NOM di$PRE uccello$NOM caradriformi$ADJ del$PRE:det famiglia$NOM Alcidae.$ABR
IT#WIKI#IV_secolo	il$DET:def millennio$NOM a.C.$VER:geru |$NOM il$DET:def millennio$NOM |$NOM II$NUM millennio$NOM il$DET:def secolo$NOM |$NOM II$NUM secolo$NOM |$NOM III$NUM secolo$NOM |$NOM IV$NUM secolo$NOM |$NOM V$NUM secolo$NOM |$NOM VI$NUM secolo$NOM |$NOM VII$NUM secolo$NOM anno$NOM @card@$NUM |$NOM anno$NOM @card@$NUM |$NOM anno$NOM @card@$NUM |$NOM anno$NOM @card@$NUM |$NOM anno$NOM @card@$NUM anno$NOM @card@$NUM |$NOM anno$NOM @card@$NUM |$NOM anno$NOM @card@$NUM |$NOM anno$NOM @card@$NUM |$NOM anno$NOM @card@$NUM frr:4.$NOM juarhunert.$NOM
IT#WIKI#Bax_(Francia)	Bax$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM dell'Alta$VER:pres Garonna$NOM nel$PRE:det regione$NOM del$PRE:det Midi-Pirenei.$NOM
IT#WIKI#William_Yarrell	Yarrell$NOM nascere$VER:remo a$PRE Londra;$NOM il$DET:def padre$NOM essere$VER:impf un$DET:indef agente$NOM di$PRE cambio$NOM e$CON William$NPR gli$PRO:pers subentrare$VER:remo nel$PRE:det conduzione$NOM dell'ufficio.$ABR
IT#WIKI#Mata_Roma	Mata$NOM Roma$NPR essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det stato$NOM del$PRE:det Maranhão$NOM in$PRE Brasile.$NOM
IT#WIKIDATA#Q54268	comune$NOM statunitense$ADJ del$PRE:det Rhode$NOM Island$NOM
IT#WIKI#Jagelloni	il$DET:def Jagelloni$NOM essere$VER:remo una$DET:indef dinastia$NOM reale$ADJ originario$ADJ del$PRE:det Lituania$NPR che$PRO:rela regnare$VER:remo in$PRE diverso$ADJ paese$NOM dell'Europa$ADJ centrale$ADJ tra$PRE il$DET:def XIV$NUM secolo$NOM e$CON il$DET:def XVI$NUM secolo.$NOM
IT#WIKI#Guntur	Guntur$NOM essere$VER:pres una$DET:indef suddivisone$ADJ dell'India,$NOM classificare$VER:pper come$PRE municipal$ADJ corporation,$NOM di$PRE @card@$NUM abitanti,$NOM capoluogo$NOM del$PRE:det distretto$NOM di$PRE Guntur,$NOM nel$PRE:det stato$NOM federato$ADJ dell'Andhra$VER:pres Pradesh.$NOM
IT#WIKI#Henvic	Henvic$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Finistère$NOM nel$PRE:det regione$NOM del$PRE:det Bretagna.$NOM
IT#WIKI#Geraldo_Alves	essere$VER:pres il$DET:def fratello$NOM di$PRE bruno$ADJ Alves,$NOM difensore$ADJ del$PRE:det zenit$NOM San$NPR Pietroburgo.$ABR
IT#WIKI#Kamisato	Kamisato$ADJ essere$VER:pres una$DET:indef cittadino$NOM giapponese$ADJ del$PRE:det prefettura$NOM di$PRE Saitama.$NOM
IT#WIKIDATA#Q470751	calciatore$NOM gallese$ADJ
IT#WIKI#Reflections_(Apocalyptica)	Reflections$NOM essere$VER:pres il$DET:def quarto$ADJ album$NOM studio$NOM del$PRE:det gruppo$NOM musicale$ADJ finlandese$ADJ Apocalyptica$NOM pubblicare$VER:pper nel$PRE:det @card@$NUM con$PRE un'edizione$NOM rivisitare$VER:pper pubblicare$VER:pper più$ADV tardi,$NOM sempre$ADV nel$PRE:det @card@$NUM chiamata$NOM Reflections$NOM Revised,$NOM contenere$VER:ppre @card@$NUM brano$NOM aggiuntivo$ADJ e$CON un$DET:indef DVD.$ABR
IT#WIKI#Fresnoy	Fresnoy$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det passo$NOM di$PRE Calais$NOM nel$PRE:det regione$NOM del$PRE:det Nord-Passo$NOM di$PRE Calais.$NOM
IT#WIKI#Documenta	documentare$VER:pres essere$VER:pres una$DET:indef del$PRE:det più$ADV importante$ADJ manifestazione$NOM internazionale$ADJ d'arte$VER:pres contemporaneo$ADJ europee,$NOM che$PRO:rela si$PRO:refl tenere$VER:pres con$PRE cadenza$NOM quinquennale$ADJ nel$PRE:det città$NOM tedesco$ADJ di$PRE Kassel,$NOM nell'Assia$NOM settentrionale.$NOM
IT#WIKIDATA#Q707880	film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE Terry$NPR Gilliam$NOM
IT#WIKIDATA#Q670552	romanzo$NOM scrivere$VER:pper da$PRE Stephen$NPR King$NPR
IT#WIKI#Patrick_Leonard	durante$PRE il$DET:def suo$PRO:poss carriera$NOM avere$VER:pres collaborare$VER:pper con$PRE Roger$NPR Waters,$NOM Peter$NPR Cetera,$NOM Bryan$NPR Ferry,$NOM Elton$NOM John,$NOM Anna$NPR Vissi,$NOM Rod$NOM Stewart,$NOM Madonna,$NOM Laura$NPR Pausini.$ABR
IT#WIKIDATA#Q178661	gruppo$NOM musicale$ADJ statunitense$ADJ
IT#WIKI#Nasaf_Qarshi_Football_Club	il$DET:def Nasaf$NOM Qarshi$NOM football$NOM club$NOM essere$VER:pres una$DET:indef società$NOM calcistico$ADJ di$PRE Karshi,$NOM Uzbekistan.$ABR
IT#WIKIDATA#Q515081	comune$NOM francese$ADJ
IT#WIKIDATA#Q132428	comporre$VER:pper chimico$NOM di$PRE formula$NOM Sr(OH)2$NOM
IT#WIKI#Trubčevsk	Trubčevsk$NOM essere$VER:pres una$DET:indef città$NOM del$PRE:det Russia$NPR europeo$ADJ sudoccidentale,$NOM situare$VER:pper sul$PRE:det fiume$NOM Desna$NOM nel$PRE:det pressi$NOM del$PRE:det confluenza$NOM in$PRE esso$PRO:pers dell'affluente$ADJ Nerussa,$NOM @card@$NUM km$NOM a$PRE sud$NOM del$PRE:det capoluogo$NOM Brjansk;$NOM dipendere$VER:pres amministrativamente$ADV dal$PRE:det Trubčevskij$NOM rajon,$NOM del$PRE:det quale$PRO:rela essere$VER:pres anche$ADV capoluogo.$NOM
IT#WIKI#Vareš	Vareš$NOM essere$VER:pres un$DET:indef comune$NOM del$PRE:det federazione$NOM di$PRE Bosnia$NPR ed$CON Erzegovina$NPR situare$VER:pper nel$PRE:det cantone$NOM di$PRE Zenica-Doboj$NOM di$PRE @card@$NUM abitanti.$ABR
IT#WIKI#Dmitrij_Kiričenko	essere$VER:pres essere|stare$VER:pper capocannoniere$NOM del$PRE:det Prem'er-Liga$NOM nel$PRE:det @card@$NUM e$CON nel$PRE:det @ord@$ORD
IT#WIKI#Dobřejovice	Dobřejovice$NOM essere$VER:pres un$DET:indef comune$NOM del$PRE:det repubblica$NOM ceca|ceco$NOM fare$VER:ppre parte$NOM del$PRE:det distretto$NOM di$PRE Praha-východ,$NOM nel$PRE:det regione$NOM del$PRE:det Boemia$NOM centrale.$ABR
IT#WIKIDATA#Q2721108	singolo$ADJ del$PRE:det AC/DC$NOM del$PRE:det @card@$NUM
IT#WIKIDATA#Q1044623	stella$NOM nel$PRE:det costellazione$NOM del$PRE:det toro$NOM
IT#WIKIDATA#Q2507282	romanzo$NOM scrivere$VER:pper da$PRE John$NPR Irving$NOM
IT#WIKIDATA#Q670565	comune$NOM austriaco$ADJ
IT#WIKI#Jesenje	Jesenje$NOM essere$VER:pres un$DET:indef comune$NOM del$PRE:det Croazia$NPR di$PRE @card@$NUM abitante$NOM del$PRE:det regione$NOM di$PRE Krapina$NOM e$CON del$PRE:det Zagorje.$NOM
IT#WIKIDATA#Q231419	Spacialità$NOM di$PRE atletica$NOM leggero$ADJ
IT#WIKI#Corte_permanente_di_arbitrato	il$DET:def corte$NOM permanente$ADJ di$PRE arbitrato$NOM essere$VER:pres un'organizzazione$NOM internazionale$ADJ fondare$VER:pper nel$PRE:det @card@$NUM per$PRE facilitare$VER:infi il$DET:def risoluzione$NOM del$PRE:det controversia$NOM fra$PRE stati.$NOM
IT#WIKI#Obanos	Obanos$NOM essere$VER:pres un$DET:indef comune$NOM spagnolo$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det comunità$NOM autonomo$ADJ del$PRE:det Navarra.$NOM
IT#WIKI#The_Beatles_in_Mono	the$NOM Beatles$NOM in$PRE Mono$NOM essere$VER:pres un$DET:indef box$NOM set$NOM del$PRE:det Beatles$NOM a$PRE tiratura$NOM limitata,$NOM il$DET:def quale$PRO:rela comprendere$VER:pres il$DET:def album$NOM monofonico$ADJ del$PRE:det gruppo$NOM rimasterizzati$VER:pper in$PRE CD$NOM Audio.$ABR
IT#WIKI#Chinurenina	il$DET:def chinurenina$NOM essere$VER:pres un$DET:indef metabolita$NOM del$PRE:det triptofano,$NOM utilizzare$VER:pper nel$PRE:det produzione$NOM del$PRE:det niacina.$NOM
IT#WIKI#2151_Hadwiger	@card@$NUM Hadwiger$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKI#Štrba	Štrba$NOM essere$VER:pres un$DET:indef comune$NOM del$PRE:det Slovacchia$NPR facente$ADJ parte$NOM del$PRE:det distretto$NOM di$PRE Poprad,$NOM nel$PRE:det regione$NOM di$PRE Prešov.$NOM
IT#WIKI#Fabio_Borini	dotare$VER:pper di$PRE una$DET:indef buono$ADJ tecnica|tecnico$NOM individuale,$NOM il$DET:def giocatore$NOM si$PRO:refl caratterizzare$VER:pres per$PRE il$DET:def suo$PRO:poss rapidità$NOM di$PRE gioco,$NOM per$PRE il$DET:def capacità$NOM di$PRE pressare$VER:infi il$DET:def avversario$NOM e$CON per$PRE una$DET:indef buono$ADJ capacità$NOM realizzativa$ADJ sotto$ADJ porta,$NOM essere$VER:pres essere|stare$VER:pper paragonare$VER:pper da$PRE Carlo$NPR Ancelotti$NOM a$PRE Filippo$NPR Inzaghi.$ABR
IT#WIKIDATA#Q676290	comune$NOM austriaco$ADJ
IT#WIKIDATA#Q24435	comune$NOM francese$ADJ
IT#WIKI#Geografia_del_Bahrain	il$DET:def Bahrain$NOM essere$VER:pres una$DET:indef monarchia$NOM costituzionale$ADJ situare$VER:pper su$PRE un$DET:indef gruppo$NOM di$PRE isola$NOM nel$PRE:det golfo$NOM Persico.$ABR
IT#WIKI#Distretto_di_Kolasib	il$DET:def distretto$NOM di$PRE Kolasib$NOM essere$VER:pres un$DET:indef distretto$NOM del$PRE:det Mizoram,$NOM in$PRE India,$NOM di$PRE @card@$NUM abitanti.$ABR
IT#WIKI#Agente_007_-_Thunderball:_Operazione_tuono	agente$NOM @card@$NUM -$PON Thunderball:$NOM operazione$NOM tuono$NOM essere$VER:pres un$DET:indef film$NOM  del$NOM @card@$NUM dirigere$VER:pper dal$PRE:det regista$NOM Terence$NPR Young.$ABR
IT#WIKIDATA#Q955818	attore$NOM e$CON cantante$NOM statunitense$ADJ
IT#WIKI#Lalaine	nascere$VER:pper da$PRE genitore$NOM filippino$ADJ originario$ADJ di$PRE Batangas$NOM e$CON Pampanga$NOM a$PRE Burbank$NOM in$PRE California$NPR e$CON attualmente$ADV vivo$ADJ a$PRE Los$NPR Angeles.$ABR
IT#WIKIDATA#Q980092	centro$NOM abitare$VER:pper del$PRE:det Texas$NPR
IT#WIKIDATA#Q1769377	specie$ADV di$PRE animale$NOM del$PRE:det famiglia$NOM Muridae$NOM
IT#WIKI#Adsubia	L'Atzúvia$NOM essere$VER:pres un$DET:indef comune$ADJ spagnolo$NOM situare$VER:pper nel$PRE:det comunità$NOM autonomo$ADJ Valenciana.$ABR
IT#WIKI#City_Hall_(Londra)	il$DET:def city$NOM hall$NOM essere$VER:pres il$DET:def sede$NOM del$PRE:det Greater$NOM London$NPR Authority$NOM che$PRO:rela includere$VER:pres il$DET:def sindaco$NOM di$PRE Londra$NPR e$CON il$DET:def London$NPR Assembly.$ABR
IT#WIKI#Campionati_europei_di_nuoto_in_vasca_corta_1994	il$DET:def quarto$ADJ campionato$NOM europeo$ADJ di$PRE nuoto$NOM in$PRE vasca$NOM corta,$NOM denominare$VER:pper ufficialmente$ADV campionato$NOM europeo$ADJ sprint,$NOM si$PRO:pers essere|sonare$VER:pres svolgere$VER:pper a$PRE Stavanger$VER:infi il$DET:def @card@$NUM e$CON il$DET:def @card@$NUM dicembre$NOM @ord@$ORD
IT#WIKIDATA#Q555515	attore$NOM giapponese$ADJ
IT#WIKIDATA#Q1061430	edizione$NOM del$PRE:det torneo$NOM calcistico$ADJ svedese$ADJ
IT#WIKI#Wilhelm_Solf	Solf$NOM essere$VER:remo governatore$NOM di$PRE Samoa,$NOM segretario$NOM di$PRE stato$NOM del$PRE:det colonia$NOM e$CON segretario$NOM di$PRE stato$NOM del$PRE:det esteri.$NOM
IT#WIKIDATA#Q1143941	comune$NOM francese$ADJ
IT#WIKI#Dominio_di_Dedekind	in$PRE algebra$NOM astratta,$NOM un$DET:indef anello$NOM di$PRE Dedekind$NOM essere$VER:pres una$DET:indef struttura$NOM algebrico$ADJ che$PRO:rela estendere$VER:pres il$DET:def concetto$NOM di$PRE fattorizzazione$NOM in$PRE numero$NOM primo$ADJ proprio$ADV del$PRE:det numero$NOM interi,$NOM e$CON più$ADV in$PRE generale$ADJ del$PRE:det anelli:$NOM in$PRE un$DET:indef anello$NOM di$PRE Dedekind$NOM essere$VER:pres possibile$ADJ fattorizzare$VER:infi ciascun$PRO:indef ideale$NOM nel$PRE:det prodotto$NOM di$PRE ideale$ADJ primi.$NOM
IT#WIKI#Neukirchen_b.Sulzbach-Rosenberg	Neukirchen$NOM beare$VER:cpre Sulzbach-Rosenberg$NOM essere$VER:pres un$DET:indef comune$NOM tedesco$ADJ di$PRE @card@$NUM abitanti,$NOM situare$VER:pper nel$PRE:det land$NOM del$PRE:det Baviera.$NOM
IT#WIKI#Neuville-lès-Decize	Neuville-lès-Decize$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Nièvre$NOM nel$PRE:det regione$NOM del$PRE:det Borgogna.$NOM
IT#WIKI#Foobar2000	Foobar2000$NOM essere$VER:pres un$DET:indef audio$NOM player$NOM freeware$NOM per$PRE Windows$NOM sviluppare$VER:pper da$PRE Peter$NPR Pawlowski.$ABR
IT#WIKIDATA#Q1142429	antico$ADJ famiglia$NOM nobiliare$ADJ
IT#WIKIDATA#Q818607	film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE Graham$NPR Baker$NPR
IT#WIKI#Elefantina	Elefantina$NOM essere$VER:pres il$DET:def nome$NOM greco$ADJ di$PRE un'isola$VER:impe che$PRO:rela si$PRO:refl trovare$VER:pres al$PRE:det centro$NOM del$PRE:det Nilo$NOM poco$ADV dopo$ADV il$DET:def primo$ADJ cateratta$NOM nel$PRE:det pressi$NOM di$PRE Assuan.$NOM
IT#WIKIDATA#Q697115	film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE Wim$NPR Wenders$NOM
IT#WIKIDATA#Q783026	comune$NOM lussemburghese$ADJ
IT#WIKI#Vainakh	Vainakh$NOM essere$VER:pres un$DET:indef termine$NOM che$PRO:rela si$PRO:refl applicare$VER:pres a$PRE quello$PRO:demo tribù,$NOM stanziare$VER:pper nel$PRE:det regione$NOM del$PRE:det Caucaso,$NOM che$PRO:rela dare$VER:remo origine$NOM all'attuale$ADJ popolo$NOM ceceno$ADJ e$CON al$PRE:det gruppo$NOM etnico$ADJ del$PRE:det Ingusci,$NOM insieme$ADV ad$PRE altri|altro$PRO:indef gruppo$NOM del$PRE:det regione.$NOM
IT#WIKIDATA#Q235	piccolo$ADJ stato$NOM monarchico$ADJ dell'Europa$ADJ
IT#WIKI#5637_Gyas	@card@$NUM Gyas$NOM essere$VER:pres un$DET:indef asteroide$NOM troiano.$NOM
IT#WIKI#Adam_Jerzy_Czartoryski	essere$VER:remo molto$ADV conoscere$VER:pper in$PRE Russia$NPR come$PRE ministro$NOM imperiale$NOM del$PRE:det affare$NOM estere|estero$NOM e$CON si$PRO:pers dire$VER:pres che$PRO:rela essere$VER:cpre essere|stare$VER:pper amante$NOM di$PRE Luisa$NPR Maria$NPR di$PRE Baden,$NOM imperatore$NOM consorte$ADJ di$PRE Alessandro$NPR il$DET:def di$PRE Russia.$NOM
IT#WIKIDATA#Q441059	tennista$NOM belga$ADJ
IT#WIKIDATA#Q292185	Attrice,$NOM cantante$ADJ e$CON ballerino$ADJ statunitense$ADJ
IT#WIKI#Otolemur_crassicaudatus	il$DET:def galagone$NOM gigante$ADJ bruno$NOM o$CON comba$VER:impe o$CON galagone$NOM dal$PRE:det coda$NOM grosso$ADJ essere$VER:pres un$DET:indef primate$NOM strepsirrino$VER:cpre del$PRE:det famiglia$NOM del$PRE:det galagidi.$NOM
IT#WIKI#Oberkirch_(Germania)	Oberkirch$NOM essere$VER:pres un$DET:indef comune$NOM tedesco$ADJ di$PRE @card@$NUM abitanti,$NOM situare$VER:pper nel$PRE:det land$NOM del$PRE:det Baden-Württemberg.$NOM
IT#WIKIDATA#Q136894	specie$ADV di$PRE pianta$NOM del$PRE:det famiglia$NOM Fabaceae$NOM
IT#WIKI#Évigny	Évigny$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Ardenne$NOM nel$PRE:det regione$NOM del$PRE:det Champagne-Ardenne.$NOM
IT#WIKIDATA#Q2320191	film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE Sidney$NOM Lumet$NOM
IT#WIKIDATA#Q2006329	Album$NOM del$PRE:det Nile$NOM del$PRE:det @card@$NUM
IT#WIKIDATA#Q1071112	comune$NOM slovacca$ADJ
IT#WIKI#8006_Tacchini	@card@$NUM tacchino$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKI#Chanu	Chanu$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM dell'Orne$ADJ nel$PRE:det regione$NOM del$PRE:det bassa$NOM Normandia.$ABR
IT#WIKIDATA#Q210133	comune$NOM francese$ADJ
IT#WIKI#August_Burns_Red	il$DET:def August$NOM Burns$NOM Red$NOM essere|sonare$VER:pres un$DET:indef gruppo$NOM metalcore$ADJ di$PRE Lancaster,$NOM Pennsylvania.$ABR
IT#WIKI#Nicolás_Bertolo	avere$VER:pres origine$NOM italiano$ADJ poiché$CON suo$PRO:poss nonna,$NOM emigrato$ADJ in$PRE sud$NOM America,$NOM essere$VER:pres originario$ADJ del$PRE:det Piemonte.$NOM
IT#WIKI#Alphonse_de_Chateaubriant	nascere$VER:pper in$PRE una$DET:indef famiglia$NOM aristocratico$ADJ di$PRE pittori,$NOM studiare$VER:pres a$PRE Nantes$NOM dopodiché$ADV entrare$VER:pres nel$PRE:det scuola$NOM militare$ADJ di$PRE St.$NOM
IT#WIKI#Avari_(Caucaso)	il$DET:def àvari$NOM essere|sonare$VER:pres un$DET:indef popolo$NOM del$PRE:det Caucaso,$NOM concentrare$VER:pper nel$PRE:det Daghestan,$NOM dove$PRO:rela costituire$VER:pres il$DET:def gruppo$NOM etnico$ADJ principale.$NOM
IT#WIKI#Juan_Pablo_Sorín	avere$VER:pres scrivere$VER:pper un$DET:indef libro$NOM intitolare$VER:pper "Grandes$NOM Chicos"$NOM per$PRE raccogliere$VER:infi fondo$NOM destinare$VER:pper al$PRE:det costruzione$NOM di$PRE una$DET:indef scuola$NOM e$CON di$PRE un$DET:indef ospedale$NOM per$PRE bambino$NOM in$PRE Argentina.$NOM
IT#WIKIDATA#Q46165	comune$NOM italiano$ADJ
IT#WIKI#Convenzione_di_Londra_sugli_Stretti	il$DET:def convenzione$NOM di$PRE Londra$NPR sul$PRE:det stretto$NOM venire$VER:remo concludere$VER:pper il$DET:def @card@$NUM luglio$NOM @card@$NUM dal$PRE:det grande$ADJ potenza$NOM europeo$ADJ –$NOM Russia,$NOM Gran$NOM Bretagna,$NOM Francia,$NOM Austria$NPR e$CON Prussia$NOM –$NOM per$PRE impedire,$NOM in$PRE caso$NOM di$PRE conflitto,$NOM il$DET:def passaggio$NOM di$PRE nave$NOM da$PRE guerra$NOM attraverso$PRE il$DET:def stretto$NOM del$PRE:det Bosforo$NOM e$CON del$PRE:det Dardanelli$NOM anche$ADV al$PRE:det alleato$NOM del$PRE:det Sultano.$NOM
IT#WIKIDATA#Q148206	asteroide$NOM
IT#WIKI#Decennio_di_integrazione_Rom	il$DET:def decennio$NOM di$PRE integrazione$NOM del$PRE:det Rom$NPR essere$VER:pres un'iniziativa$ADJ di$PRE otto$ADJ paese$NOM centro$NOM ed$CON est$NOM europeo$ADJ per$PRE migliorare$VER:infi il$DET:def status$NOM socioeconomico$ADJ e$CON l'integrazione$NOM del$PRE:det minoranza$NOM Rom$NPR nel$PRE:det regione.$NOM
