FR#WIKIDATA#Q544	système$NOM planétaire$ADJ du$PRP:det Soleil$NAM
FR#WIKI#Djankoï	Djankoï$NAM être$VER:pres un$DET:ART ville$NOM de$PRP le$DET:ART république$NOM autonome$ADJ de$PRP Crimée,$NAM en$PRP Ukraine,$NAM et$KON le$DET:ART centre$NOM administratif$ADJ du$PRP:det raïon$NOM de$PRP Djankoï.$ABR
FR#WIKI#Luquan_(Hebei)	Luquan$NAM être$VER:pres un$DET:ART ville$NOM de$PRP le$DET:ART province$NOM du$PRP:det Hebei$NAM en$PRP Chine.$NAM
FR#WIKI#Hausbrunn	Hausbrunn$NAM être$VER:pres un$DET:ART commune$NOM autrichien$ADJ du$PRP:det district$NOM de$PRP Mistelbach$NAM en$PRP Basse-Autriche.$NAM
FR#WIKI#Laureano_Ruiz	Laureano$NAM Ruiz$NAM Quevedo,$ABR naître$VER:pper le$DET:ART à$PRP Villafufre$NAM en$PRP Cantabrie,$NAM être$VER:pres un$DET:ART joueur$NOM de$PRP football$NOM espagnol$ADJ devenir$VER:pper par$PRP le$DET:ART suite$NOM entraîneur.$ADJ
FR#WIKIDATA#Q1643833	commune$NOM espagnol$ADJ
FR#WIKI#Ougaf	Ougaf$NOM être$VER:pres un$DET:ART pharaon$NOM de$PRP le$DET:ART égyptien$NOM que$KON le$DET:ART spécialiste$NOM classer$VER:pres soit$KON premier$NUM roi$NOM de$PRP ce$PRO:DEM dynastie$NOM être$VER:subp plutôt$ADV vers$PRP le$DET:ART milieu,$NOM où$PRO:REL il$PRO:PER être$VER:pres identifier$VER:pper dans$PRP ce$PRO:DEM cas$NOM là$ADV à$PRP Sobekhotep.$NAM
FR#WIKIDATA#Q552924	commune$NOM allemand$ADJ
FR#WIKI#Compresseur_mécanique	un$DET:ART compresseur$NOM mécanique$ADJ être$VER:pres un$DET:ART organe$NOM mécanique$ADJ destiner$VER:pper à$PRP augmenter$VER:infi par$PRP un$DET:ART procédé$NOM uniquement$ADV mécanique$ADJ le$DET:ART pression$NOM d'un$ADJ gaz.$ADJ
FR#WIKI#Alekseï_Troïtski	Alekseï$NAM Alekseïevitch$NAM Troïtski$NAM ou$KON Troitzky,$ABR compositeur$NOM d'études$NOM d'échecs,$ADJ fondateur$NOM avec$PRP Henri$NAM Rinck$NAM de$PRP l'étude$NOM d'échecs$NOM moderne.$ADJ
FR#WIKIDATA#Q116219	acteur|actrice$NOM américain$ADJ
FR#WIKI#Trachurus	le$DET:ART genre$NOM Trachurus$NAM former$VER:pres un$DET:ART groupe$NOM de$PRP poisson$NOM communément$ADV appeler$VER:pper chinchard.$NOM
FR#WIKIDATA#Q494062	commune$NOM norvègienne$ADJ
FR#WIKIDATA#Q243028	commune$NOM français$ADJ
FR#WIKI#Charles_II_d'Angleterre	Charles$NAM II$NUM être$VER:pres roi$NOM d'Angleterre,$ADJ d'Écosse$ADJ et$KON d'Irlande$ADJ de$PRP @card@$NUM à$PRP son$DET:POS mort.$NOM
FR#WIKI#Histoire_des_Philippines	L'histoire$NOM du$PRP:det philippin|philippine$NOM avoir$VER:pres commencer$VER:pper avec$PRP l'arrivée$NOM du$PRP:det premier$NUM homme$NOM par$PRP voie$NOM terrestre,$ADJ il$PRO:PER y$PRO:PER avoir$VER:pres au$PRP:det moins$ADV ans.$NOM
FR#WIKI#Times_Square_Tower	le$DET:ART Times$NAM Square$NAM Tower$NAM être$VER:pres un$DET:ART gratte-ciel$NOM de$PRP New$NAM York,$ABR construire$VER:pper en$PRP @ord@$NAM
FR#WIKI#Jon_Foo	Jon$NAM Foo$NAM être$VER:pres un$DET:ART acteur$NOM Anglais,$ABR mannequin$NOM et$KON maître$NOM de$PRP wushu.$ABR
FR#WIKIDATA#Q242810	commune$NOM allemand$ADJ
FR#WIKI#Plogoff	Plogoff$NAM être$VER:pres un$DET:ART commune$NOM du$PRP:det département$NOM du$PRP:det Finistère,$ABR à$PRP l'extrémité$NOM du$PRP:det Cap$NAM Sizun$NAM dans$PRP le$DET:ART région$NOM Bretagne,$NAM en$PRP France.$NAM
FR#WIKIDATA#Q2005935	jeu$NOM vidéo$ADJ de$PRP @card@$NUM
FR#WIKIDATA#Q677764	jeu$NOM vidéo$ADJ de$PRP @card@$NUM
FR#WIKI#Championnat_de_Croatie_de_football_2008-2009	le$DET:ART saison$NOM @card@$NUM du$PRP:det Championnat$NAM de$PRP Croatie_$NAM de$PRP football$NOM être$VER:pres le$DET:ART @card@$NUM édition$NOM de$PRP le$DET:ART premier$NUM division$NOM croate.$ADJ
FR#WIKIDATA#Q1032029	commune$NOM français$ADJ
FR#WIKIDATA#Q12828	ville$NOM du$PRP:det philippin|philippine$NOM
FR#WIKI#Lúcia_de_Jesus_dos_Santos	Lúcia$NAM de$PRP Jesus$NAM dos$NOM Santos,$NAM être$VER:pres un$DET:ART religieux$ADJ portugais|portugaise$NOM de$PRP l'Ordre$NOM du$PRP:det Carmel.$ABR
FR#WIKI#Montecchio_Maggiore	Montecchio$NAM Maggiore$NAM être$VER:pres un$DET:ART commune$NOM italien$ADJ de$PRP le$DET:ART province$NOM de$PRP Vicence$NAM dans$PRP le$DET:ART région$NOM Vénétie$NAM en$PRP Italie.$NAM
FR#WIKIDATA#Q1385916	nageur$ADJ américain$NOM
FR#WIKI#Acanthostracion_quadricornis	Acanthostracion$NOM quadricornis$NOM être$VER:pres un$DET:ART espèce$NOM de$PRP poisson$NOM de$PRP le$DET:ART famille$NOM du$PRP:det Ostraciidae.$ABR
FR#WIKI#Place_de_la_République_(Paris)	le$DET:ART place$NOM de$PRP le$DET:ART république$NOM être$VER:pres un$DET:ART place$NOM situer$VER:pper à$PRP le$DET:ART limite$NOM des,$ADJ et$KON arrondissement$NOM de$PRP Paris.$NAM
FR#WIKIDATA#Q548345	écrivain$NOM américain$ADJ
FR#WIKIDATA#Q1580807	gratte-ciel$NOM américain$ADJ
FR#WIKIDATA#Q1191497	footballeur$NOM argentin$ADJ
FR#WIKI#Kim_Rhodes	Kim$NAM Rhodes$NAM à$PRP Portland,$NAM Oregon,$NAM être$VER:pres un$DET:ART acteur|actrice$NOM américain$ADJ plutôt$ADV connaître$VER:pper pour$PRP son$DET:POS rôle$NOM de$PRP Carey$NAM Martin$NAM dans$PRP le$DET:ART vie$NOM de$PRP croisière$NOM de$PRP Zack$NAM et$KON Cody$NAM et$KON le$DET:ART vie$NOM de$PRP palace$NOM de$PRP Zack$NAM et$KON Cody.$ABR
FR#WIKIDATA#Q1803346	commune$NOM brésilien$ADJ
FR#WIKI#Resource_Description_Framework	Resource$NOM Description$NAM Framework$NAM être$VER:pres un$DET:ART modèle$NOM de$PRP graphe$NOM destiner$VER:pper à$PRP décrire$VER:infi de$PRP façon$NOM formel$ADJ le$DET:ART ressource$NOM Web$NAM et$KON leur$DET:POS métadonnées,$NOM de$PRP façon$NOM à$PRP permettre$VER:infi le$DET:ART traitement$NOM automatique$ADJ de$PRP tel$PRO:DEM descriptions.$NOM
FR#WIKI#Montferrat_(Var)	Montferrat$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det Var$NAM et$KON le$DET:ART région$NOM Provence-Alpes-Côte$NAM d'Azur.$ABR
FR#WIKIDATA#Q765975	département$NOM guatémaltèque$ADJ
FR#WIKIDATA#Q60972	philosophe$NOM allemand$ADJ
FR#WIKIDATA#Q704367	footballeur$NOM allemand$ADJ
FR#WIKI#John_from_Cincinnati	John$NAM from$NOM Cincinnati$NAM être$VER:pres un$DET:ART série$NOM téléviser$VER:pper américain$ADJ en$PRP dix$NUM épisode$NOM de$PRP @card@$NUM minutes,$NOM créer$VER:pper par$PRP David$NAM Milch$NAM et$KON Kem$NAM Nunn$NAM et$KON diffuser$VER:pper entre$PRP le$DET:ART et$KON le$DET:ART sur$PRP HBO.$NAM
FR#WIKI#Pohang	Pohang$NOM être$VER:pres un$DET:ART ville$NOM de$PRP @card@$NUM @card@$NUM habitant$NOM de$PRP le$DET:ART Corée$NAM du$PRP:det Sud,$NOM dans$PRP le$DET:ART province$NOM du$PRP:det Gyeongsang$NOM du$PRP:det Nord.$NOM
FR#WIKI#Droit_international_privé_en_France	le$DET:ART droit$NOM international$ADJ français$ADJ être$VER:pres le$DET:ART branche$NOM du$PRP:det droit$NOM qui$PRO:REL étudier$VER:pres le$DET:ART règlement$NOM du$PRP:det différend$NOM de$PRP droit$NOM privé$ADJ présenter$VER:ppre au$PRP:det moins$ADV un$DET:ART caractère$NOM d'extranéité,$ADJ que$KON le$DET:ART partie$NOM être$VER:subp de$PRP nationalité$NOM différentes,$ADJ résider$VER:pres dans$PRP du$PRP:det pays$NOM différents,$ADJ ou$KON être$VER:subp lier$VER:pper par$PRP du$PRP:det engagement$NOM prendre$VER:pper dans$PRP un$DET:ART pays$NOM autre$ADJ que$KON leur$DET:POS pays$NOM de$PRP résidence.$ABR
FR#WIKI#Tunnel_de_Folgefonn	le$DET:ART Folgefonntunnelen$NAM ou$KON Tunnel$NAM de$PRP Folgefonn$NAM être$VER:pres un$DET:ART tunnel$NOM routier$ADJ long$ADJ de$PRP @card@$NUM mètres,$NOM situer$VER:pper en$PRP Norvège$NAM méridionale.$ABR
FR#WIKI#Catharisme	le$DET:ART catharisme$NOM être$VER:pres un$DET:ART mouvement$NOM chrétien$ADJ médiéval.$ADJ
FR#WIKI#Alhandra_(Paraíba)	Alhandra$NAM être$VER:pres un$DET:ART ville$NOM brésilien$ADJ de$PRP l'est$NOM de$PRP l'État$NOM de$PRP le$DET:ART Paraíba.$NAM
FR#WIKIDATA#Q174060	ville$NOM turque$ADJ
FR#WIKIDATA#Q2232350	ville$NOM américain$ADJ de$PRP l'état$NOM du$PRP:det Kansas$NAM
FR#WIKIDATA#Q1027307	ville$NOM chinois$ADJ
FR#WIKI#Stradivarius_Barjansky	le$DET:ART stradivarius$NOM Barjansky$NAM être$VER:pres un$DET:ART violoncelle$NOM fabriquer$VER:pper par$PRP Antonio$NAM Stradivari.$ABR
FR#WIKI#Rouza	Rouza$NAM être$VER:pres un$DET:ART ville$NOM de$PRP l'oblast$NOM de$PRP Moscou,$NAM en$PRP Russie,$NAM et$KON le$DET:ART centre$NOM administratif$ADJ du$PRP:det raïon$NOM Rouzski.$NAM
FR#WIKI#Championnat_de_Suède_de_football_1960	le$DET:ART championnat$NOM de$PRP Suède$NAM de$PRP football$NOM @card@$NUM être$VER:pres le$DET:ART édition$NOM de$PRP ce$PRO:DEM championnat.$NOM
FR#WIKI#La_Brousse	le$DET:ART Brousse$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Charente-Maritime$NAM et$KON le$DET:ART région$NOM Poitou-Charentes.Ses$VER:subp habitant$NOM être$VER:pres appeler$VER:pper le$DET:ART Broussiens$NAM et$KON le$DET:ART Broussiennes.$NAM
FR#WIKIDATA#Q148661	commune$NOM français$ADJ
FR#WIKI#Aumühle	Aumühle$NAM être$VER:pres un$DET:ART ville$NOM du$PRP:det Schleswig-Holstein,$ABR situer$VER:pper environ$PRP @card@$NUM kilomètre$ABR à$PRP l'est$NOM de$PRP Hambourg.$NAM
FR#OMWIKI#1464910	marte$NOM de$PRP l'espèce$NOM Martes$NAM melampus$ADJ avoir$VER:ppre un$DET:ART pelage$NOM varier$VER:ppre du$PRP:det marron$NOM foncé$ADJ au$PRP:det jaune$ADJ pâle,$NOM avec$PRP le$DET:ART gorge$NOM de$PRP couleur$NOM crème.$ABR
FR#OMWIKI#7185	titre$NOM d'un$ADJ film$NOM de$PRP James$NAM Bond$NAM de$PRP @card@$NUM avec$PRP Sean$NAM Connery.$ABR
FR#WIKI#Discographie_des_Rolling_Stones	ce$PRO:DEM article$NOM présenter$VER:pres le$DET:ART discographie$NOM du$PRP:det groupe$NOM de$PRP rock$NOM The$NAM Rolling$NAM Stones.$ABR
FR#WIKI#Département_d'Antofagasta_de_la_Sierra	le$DET:ART département$NOM d'Antofagasta$VER:simp de$PRP le$DET:ART Sierra$NAM être$VER:pres un$DET:ART du$PRP:det @card@$NUM subdivision$NOM de$PRP le$DET:ART province$NOM de$PRP Catamarca,$NAM en$PRP Argentine.$NAM
FR#WIKI#Aglipay	Aglipay$NAM être$VER:pres un$DET:ART municipalité$NOM de$PRP le$DET:ART province$NOM de$PRP Quirino,$NAM au$PRP:det Philippines.$NAM
FR#WIKIDATA#Q243055	commune$NOM français$ADJ
FR#WIKIDATA#Q192845	portail$NOM de$PRP Microsoft$NAM
FR#WIKIDATA#Q601518	commune$NOM français$ADJ
FR#WIKI#Misiones_(Paraguay)	le$DET:ART département$NOM de$PRP Misiones$NAM être$VER:pres un$DET:ART du$PRP:det @card@$NUM subdivision$NOM du$PRP:det Paraguay.$NAM
FR#WIKI#Nippon_Budokan	le$DET:ART Nippon$NAM Budokan$NAM être$VER:pres un$DET:ART budokan$NOM du$PRP:det centre-ville$NOM de$PRP Tokyo,$ABR capitale$NOM du$PRP:det Japon.$NAM
FR#WIKI#Muscle_abaisseur_de_l'angle_de_la_bouche	le$DET:ART muscle$NOM abaisseur$ADJ de$PRP l'angle$NOM de$PRP le$DET:ART bouche$NOM ou$KON muscle$NOM triangulaire$ADJ du$PRP:det lèvre$NOM être$VER:pres un$DET:ART petit$ADJ muscle$NOM triangulaire$ADJ pair$ADJ de$PRP le$DET:ART partie$NOM latéral$ADJ du$PRP:det menton.$NOM
FR#WIKI#Ailurops_ursinus	le$DET:ART couscous$NOM du$PRP:det Célèbes$NAM être$VER:pres un$DET:ART espèce$NOM de$PRP marsupial$ADJ de$PRP le$DET:ART famille$NOM du$PRP:det Phalangeridae.$NAM
FR#WIKI#McLaren_MP4-16	le$DET:ART McLaren$NAM MP4-16$NAM être$VER:pres le$DET:ART monoplace$NOM engager$VER:pper par$PRP l'écurie$NOM McLaren$NAM Racing$NAM lors$ADV de$PRP le$DET:ART saison$NOM @card@$NUM de$PRP Formule$NAM @ord@$ABR
FR#WIKIDATA#Q165274	poète$NOM et$KON scénariste$NOM français$ADJ
FR#WIKIDATA#Q3183	capitale$NOM de$PRP l'État$NOM d'Australie-Occidentale$ADJ
FR#OMWIKI#1355816	appareil$NOM servir$VER:ppre à$PRP mesurer$VER:infi le$DET:ART tau|taux$NOM de$PRP glycémie.$NOM
FR#WIKI#NetBIOS	NetBIOS$NAM être$VER:pres un$DET:ART architecture$NOM réseau$NOM co-développée$NOM par$PRP IBM$ABR et$KON Sytec$NAM au$PRP:det début$NOM du$PRP:det année$NOM @ord@$ADJ
FR#WIKI#Giuseppe_Gabriel_Balsamo-Crivelli	Giuseppe$NAM Gabriel$NAM Balsamo-Crivelli$NAM être$VER:impf un$DET:ART naturaliste$ADJ italien,$NOM naître$VER:pper le$DET:ART à$PRP Milan$NAM et$KON mourir$VER:pper le$DET:ART à$PRP Pavie.$NAM
FR#WIKI#Wintersleep	Wintersleep$NAM être$VER:pres un$DET:ART groupe$NOM canadien$ADJ originaire$ADJ de$PRP Halifax,$NAM en$PRP Nouvelle-Écosse.$NAM
FR#WIKI#Barbara_Leigh-Hunt	Barbara$NAM Leigh-Hunt$NAM être$VER:pres un$DET:ART acteur|actrice$NOM britannique$ADJ qui$PRO:REL être$VER:pres apparaître$VER:pper sur$PRP le$DET:ART scène,$NOM au$PRP:det cinéma,$NOM à$PRP le$DET:ART télévision$NOM et$KON à$PRP le$DET:ART radio.$NOM
FR#WIKI#Muscle_extenseur_des_doigts	le$DET:ART muscle$NOM extenseur$ADJ du$PRP:det doigt$NOM être$VER:pres un$DET:ART muscle$NOM de$PRP l'avant$ADJ bras$NOM situer$VER:pper dans$PRP le$DET:ART loge$NOM postérieure.$ADJ
FR#WIKIDATA#Q885	militaire$ADJ polonais$NOM et$KON homme$NOM d'État$NOM de$PRP le$DET:ART 2e$NUM république$NOM de$PRP Pologne$NAM (1867-1935)$ABR
FR#WIKI#Marie-Béatrice_de_Modène_(1824-1906)	Marie$NAM Béatrice$NAM Anne$NAM Françoise$NAM de$PRP Habsbourg-Lorraine,$ABR archiduchesse$NOM d'Autriche,$ADJ princesse$NOM de$PRP Modène,$NAM naître$VER:pper le$DET:ART @card@$NUM février$NOM @card@$NUM à$PRP Modène,$NAM décéder$VER:pper le$DET:ART @card@$NUM mars$NOM @card@$NUM à$PRP Graz.$NAM
FR#WIKI#Sterne_tara	le$DET:ART sterne$NOM tarer$VER:simp être$VER:pres l'espèce$ADJ d'oiseau$NOM de$PRP le$DET:ART famille$NOM du$PRP:det Laridae.$NAM
FR#WIKIDATA#Q200764	boutique$NOM où$PRO:REL l'on$NOM vendre$VER:pres du$PRP:det livre$NOM
FR#WIKI#Saint-Salvadour	Saint-Salvadour$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Corrèze$NAM et$KON le$DET:ART région$NOM Limousin.$NAM
FR#WIKIDATA#Q1225468	commune$NOM français$ADJ
FR#WIKI#Cisco_(Texas)	Cisco$NAM être$VER:pres un$DET:ART ville$NOM du$PRP:det comté$NOM d'Eastland,$ADJ Texas,$NAM États-Unis.$ABR
FR#WIKI#Castelbellino	Castelbellino$NAM être$VER:pres un$DET:ART commune$NOM italien$ADJ d'environ$NOM habitants,$ADJ situer$VER:pper dans$PRP le$DET:ART province$NOM d'Ancône,$ADJ dans$PRP le$DET:ART région$NOM Marches,$NAM en$PRP Italie$NAM centrale.$ABR
FR#WIKIDATA#Q504679	commune$NOM allemand$ADJ
FR#WIKI#Said_Belqola	Said$NAM Belqola,$NAM naître$VER:pper le$DET:ART @card@$NUM août$NOM @card@$NUM à$PRP Tiflet,$ADJ mort$NOM le$DET:ART @card@$NUM juin$NOM @card@$NUM être$VER:impf un$DET:ART arbitre$NOM de$PRP football$NOM international$ADJ marocain.$ADJ
FR#WIKI#John_Obadiah_Westwood	John$NAM Obadiah$NAM Westwood$NAM être$VER:pres un$DET:ART entomologiste$NOM et$KON un$DET:ART archéologue$NOM britannique,$ADJ naître$VER:pper le$DET:ART à$PRP Sheffield$NAM et$KON mourir$VER:pper le$DET:ART à$PRP Oxford.$ABR
FR#WIKI#Jarinu	Jarinu$NAM être$VER:pres un$DET:ART municipalité$NOM brésilien$ADJ de$PRP l'État$NOM de$PRP São$NAM Paulo$NAM et$KON le$DET:ART Microrégion$NOM de$PRP Bragança$NAM Paulista.$ABR
FR#WIKI#Michel-Ange_-_Auteuil_(métro_de_Paris)	Michel-Ange$NAM -$PUN Auteuil$NAM être$VER:pres un$DET:ART station$NOM du$PRP:det métro$NOM de$PRP Paris,$NOM sur$PRP le$DET:ART ligne$NOM @card@$NUM et$KON @card@$NUM dans$PRP le$DET:ART @card@$NUM arrondissement$NOM de$PRP Paris.$NAM
FR#OMWIKI#2210	magnitude$NOM de$PRP le$DET:ART sensation$NOM physiologique$ADJ produire$VER:pper par$PRP un$DET:ART son,$NOM qui$PRO:REL varier$VER:pres directement$ADV avec$PRP l'intensité$NOM physique$ADJ d'un$ADJ être$VER:pres mais$KON dépendre$VER:pres aussi$ADV de$PRP le$DET:ART fréquence$NOM du$PRP:det son$NOM et$KON de$PRP le$DET:ART forme$NOM de$PRP l'onde.$ABR
FR#WIKIDATA#Q193399	commune$NOM français$ADJ
FR#WIKI#Leiodidae	Leiodidae$NAM être$VER:pres un$DET:ART famille$NOM de$PRP coléoptère$NOM qui$PRO:REL compter$VER:pres environ$PRP @card@$NUM espèce$NOM que$KON l'on$NOM trouver$VER:pres dans$PRP le$DET:ART monde$NOM entier.$ADJ
FR#WIKIDATA#Q9002	commune$NOM italien$ADJ
FR#WIKIDATA#Q1025813	ville$NOM américain$ADJ
FR#WIKI#Gale_(cratère_martien)	gale$NOM être$VER:pres un$DET:ART cratère$NOM d'impact$ADJ de$PRP de$PRP diamètre$NOM situer$VER:pper sur$PRP le$DET:ART planète$NOM Mars$NAM dans$PRP le$DET:ART quadrangle$NOM d'Aeolis,$ADJ à$PRP le$DET:ART limite$NOM géologique$ADJ matérialiser$VER:ppre le$DET:ART dichotomie$NOM crustale$ADJ martienne,$ADJ par,$NOM dans$PRP le$DET:ART région$NOM d'Aeolis$VER:simp Mensae.$NAM
FR#WIKIDATA#Q2716935	genre$NOM de$PRP plante$NOM
FR#WIKI#Konstantin	Konstantin$NAM être$VER:pres un$DET:ART prénom$NOM hongrois$ADJ masculin.$ADJ
FR#WIKIDATA#Q16552	ville$NOM du$PRP:det États-Unis$NAM
FR#WIKI#Hukbalahap	le$DET:ART Hukbalahap$NAM être$VER:pres un$DET:ART organisation$NOM de$PRP partisan$ADJ communiste$NOM philippin$ADJ créer$VER:pper en$PRP @card@$NUM pour$PRP résister$VER:infi à$PRP l'occupation$NOM du$PRP:det Commonwealth$NAM du$PRP:det philippin|philippine$NOM par$PRP l'Empire$NOM du$PRP:det Japon.$NAM
FR#WIKIDATA#Q1134434	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKIDATA#Q974249	ville$NOM américain$ADJ de$PRP l'état$NOM du$PRP:det Texas$NAM
FR#WIKI#Réactif_de_Benedict	le$DET:ART réactif$NOM de$PRP Benedict$NAM être$VER:pres un$DET:ART réactif$NOM chimique$ADJ capable$ADJ de$PRP détecter$VER:infi certain$PRO:IND oses,$NOM le$DET:ART flavonoïdes$NOM et$KON le$DET:ART coumarines.$NOM
FR#WIKI#Jesse_Tobias	Jesse$NAM Tobias,$NAM naître$VER:pper le,$NOM être$VER:pres un$DET:ART guitariste$NOM texan$ADJ d'origine$NOM mexicaine.$ADJ
FR#WIKIDATA#Q94816	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKI#Patrick_Manning	Patrick$NAM Manning,$NAM être$VER:pres un$DET:ART homme$NOM politique$ADJ trinidadien.$ADJ
FR#WIKI#Décennie_de_l'intégration_tzigane	le$DET:ART Décennie$NAM d'intégration$NOM tzigane$ADJ être$VER:pres un$DET:ART initiative$NOM de$PRP neuf$ADJ pays$NOM d'Europe$NOM central$ADJ et$KON oriental$ADJ pour$PRP améliorer$VER:infi le$DET:ART statut$NOM socio-économique$ADJ et$KON mieux$ADV inclure$VER:infi socialement$ADV le$DET:ART peuple$NOM Rom$NAM dans$PRP ce$PRO:DEM région.$NOM
FR#WIKIDATA#Q736856	compétition$NOM de$PRP football$NOM
FR#WIKIDATA#Q42440	année$NOM
FR#WIKIDATA#Q724520	ville$NOM chinois$ADJ
FR#WIKI#Jānis_Miņins	Jānis$NAM Miņins,$NAM naître$VER:pper le$DET:ART à$PRP Kuldīga,$NAM être$VER:pres un$DET:ART bobeur$NOM letton$ADJ en$PRP tant$ADV que$KON pilote.$VER:subi
FR#WIKI#Józef_Piłsudski	Józef$NAM Klemens$NAM Piłsudski,$ABR naître$VER:pper le$DET:ART dans$PRP le$DET:ART propriété$NOM familial$ADJ de$PRP Zułów$NAM et$KON mourir$VER:pper le$DET:ART à$PRP Varsovie,$NAM être$VER:pres un$DET:ART homme$NOM politique$ADJ polonais,$NOM un$DET:ART temps$NOM leader$NOM du$PRP:det parti$NOM socialiste$ADJ polonais,$ADJ puis$ADV Naczelnik$NAM państwa,$ABR Premier$NAM ministre,$ADJ à$PRP partir$VER:infi de$PRP @card@$NUM homme$NOM fort$ADJ du$PRP:det régime$NOM Sanacja,$ADJ dire$VER:pper du$PRP:det colonel$NOM pendant$PRP le$DET:ART deuxième$NUM république,$NOM de$PRP @card@$NUM à$PRP son$DET:POS mort.$NOM
FR#WIKI#Livre_d'heures_du_cardinal_Farnèse	le$DET:ART livre$NOM d'heures$ADJ du$PRP:det cardinal$ADJ Farnèse$NAM ou$KON Heures$NAM Farnèse$NAM être$VER:pres un$DET:ART livre$NOM d'heures$VER:subp de$PRP le$DET:ART Renaissance$NOM italien$ADJ composer$VER:pper par$PRP Giulio$NAM Clovio$NAM pour$PRP le$DET:ART cardinal$ADJ Alexandre$NAM Farnèse.$ABR
FR#WIKIDATA#Q1151551	commune$NOM français$ADJ
FR#WIKI#Tournoi_de_Wimbledon_1885	résultat$NOM du$PRP:det Tournoi$NAM de$PRP Wimbledon$NAM @ord@$ABR
FR#WIKI#Albany_(Californie)	Albany$NAM être$VER:pres un$DET:ART municipalité$NOM situer$VER:pper dans$PRP le$DET:ART comté$NOM d'Alameda,$ADJ dans$PRP l'État$NOM de$PRP Californie,$NAM au$PRP:det États-Unis.$NAM
FR#WIKIDATA#Q274534	station$NOM du$PRP:det métro$NOM de$PRP Paris$NAM
FR#WIKI#Système_solaire	le$DET:ART système$NOM solaire$ADJ être$VER:pres un$DET:ART système$NOM planétaire$ADJ composer$VER:pper d'une$NOM étoile,$ADJ le$DET:ART Soleil,$NAM et$KON du$PRP:det corps$NOM céleste$ADJ ou$KON objet$NOM défini$ADJ graviter$VER:ppre autour$ADV de$PRP lui$PRO:PER :$PUN le$DET:ART huit$NUM planète$NOM et$KON leur$DET:POS @card@$NUM satellite$NOM naturel$ADJ connus,$VER:simp le$DET:ART cinq$NUM planète$NOM naines,$ADJ et$KON le$DET:ART milliard$NOM de$PRP petit$ADJ corps.$NOM
FR#WIKI#Quantilly	Quantilly$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det Cher$NAM et$KON le$DET:ART région$NOM Centre.$ABR
FR#WIKI#Espace_uniforme	en$PRP mathématiques,$NOM le$DET:ART notion$NOM d'espace$NOM uniforme$ADJ être$VER:pres un$DET:ART généralisation$NOM de$PRP celui$PRO:DEM d'espace$NOM métrique.$ADJ
FR#WIKI#Lamérac	Lamérac$NAM être$VER:pres un$DET:ART commune$NOM du$PRP:det sud-ouest$NOM de$PRP le$DET:ART France,$ABR situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Charente.$ABR
FR#WIKI#John_Kerr_(gouverneur_d'Australie)	Sir$NAM John$NAM Robert$NAM Kerr$NAM être$VER:simp le$DET:ART treizième$NUM président$NOM de$PRP le$DET:ART Cour$NAM suprême$ADJ de$PRP Nouvelle-Galles$NAM du$PRP:det Sud$NOM et$KON le$DET:ART dix-huitième$ADJ gouverneur$NOM général$ADJ d'Australie.$ADJ
FR#WIKI#Sœurdres	Soeurdres$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP Maine-et-Loire$NOM et$KON le$DET:ART région$NOM Pays$NAM de$PRP le$DET:ART Loire.$NAM
FR#WIKI#Défaitisme	le$DET:ART défaitisme$NOM être$VER:pres un$DET:ART acceptation$NOM de$PRP le$DET:ART défaite$NOM sans$PRP aucun$PRO:IND résistance.$NOM
FR#WIKIDATA#Q918745	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKIDATA#Q272293	espèce$NOM d'animaux$ADJ
FR#WIKI#Ottiglio	Ottiglio$NAM être$VER:pres un$DET:ART commune$NOM italien$ADJ de$PRP le$DET:ART province$NOM d'Alexandrie$VER:pper dans$PRP le$DET:ART région$NOM Piémont$NAM en$PRP Italie.$NAM
FR#WIKI#Amalgame_dentaire	en$PRP dentisterie,$ADJ amalgame$NOM désigner$VER:pres un$DET:ART matériau$NOM utiliser$VER:pper pour$PRP obturer$VER:infi le$DET:ART carie$NOM qui$PRO:REL se$PRO:PER former$VER:pres dans$PRP le$DET:ART dent$NOM après$KON que$KON leur$DET:POS partie$NOM carier$VER:pper avoir$VER:pres être$VER:pper nettoyée.$VER:pper
FR#WIKIDATA#Q595870	commune$NOM français$ADJ
